artist,song,duration_ms,explicit,year,popularity,valence,tempo,genre,genre_Folk/Acoustic,genre_R&B,genre_World/Traditional,genre_blues,genre_classical,genre_country,genre_easy listening,genre_hip hop,genre_jazz,genre_latin,genre_metal,genre_pop,genre_rock,genre_set(),genre_ordinal
Jagged Edge,He Can't Love U,244053,False,2000,55,0.508,126.279,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Jagged Edge,He Can't Love U,244053,False,2000,55,0.508,126.279,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Sisqo,Incomplete,274226,True,1999,60,0.272,119.311,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Sisqo,Incomplete,274226,True,1999,60,0.272,119.311,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Sisqo,Incomplete,274226,True,1999,60,0.272,119.311,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,True,2000,59,0.801,98.631,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,False,1999,59,0.148,129.297,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,False,1999,59,0.148,129.297,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Baha Men,Who Let The Dogs Out,198400,False,2000,65,0.784,129.221,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,True,1999,63,0.868,103.032,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,True,1999,63,0.868,103.032,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
LeAnn Rimes,Can't Fight The Moonlight,215506,False,2001,65,0.626,97.865,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
LeAnn Rimes,Can't Fight The Moonlight,215506,False,2001,65,0.626,97.865,country,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3
Oasis,Go Let It Out,278666,False,2000,1,0.628,84.192,Folk/Acoustic,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9
Oasis,Go Let It Out,278666,False,2000,1,0.628,84.192,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
DJ Ötzi,Hey Baby (Radio Mix),219240,False,2010,58,0.834,135.099,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
DJ Ötzi,Hey Baby (Radio Mix),219240,False,2010,58,0.834,135.099,easy listening,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10
DJ Ötzi,Hey Baby (Radio Mix),219240,False,2010,58,0.834,135.099,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
P!nk,Most Girls,298960,False,2000,52,0.694,97.922,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,False,2011,1,0.373,117.338,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,False,2011,1,0.373,117.338,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Craig David,Fill Me In,257200,False,2000,60,0.827,132.493,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Craig David,Fill Me In,257200,False,2000,60,0.827,132.493,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Craig David,Fill Me In,257200,False,2000,60,0.827,132.493,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Christina Aguilera,I Turn to You,273706,False,1999,61,0.298,127.177,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Madonna,American Pie,273533,False,2000,58,0.591,124.036,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Red Hot Chili Peppers,Otherside,255373,False,1999,78,0.513,123.229,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Sammie,I Like It,251040,False,2000,55,0.852,129.963,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Sammie,I Like It,251040,False,2000,55,0.852,129.963,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Sammie,I Like It,251040,False,2000,55,0.852,129.963,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Craig David,7 Days,235133,False,2000,70,0.888,83.014,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Craig David,7 Days,235133,False,2000,70,0.888,83.014,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Craig David,7 Days,235133,False,2000,70,0.888,83.014,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Santana,Maria Maria (feat. The Product G&B),261973,False,1999,66,0.68,97.911,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Santana,Maria Maria (feat. The Product G&B),261973,False,1999,66,0.68,97.911,blues,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
Santana,Maria Maria (feat. The Product G&B),261973,False,1999,66,0.68,97.911,latin,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7
Kandi,Don't Think I'm Not,243533,False,2000,55,0.433,134.007,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Kandi,Don't Think I'm Not,243533,False,2000,55,0.433,134.007,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
P!nk,There You Go,202800,False,2000,55,0.668,107.908,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Vengaboys,Shalala Lala,214819,False,2000,58,0.973,124.017,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Ronan Keating,Life Is A Rollercoaster,234826,False,2000,59,0.862,118.981,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Ronan Keating,Life Is A Rollercoaster,234826,False,2000,59,0.862,118.981,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Madison Avenue,Don't Call Me Baby,228140,False,1999,56,0.961,124.999,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
Destiny's Child,"Jumpin', Jumpin'",230200,False,1999,70,0.683,88.997,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Destiny's Child,"Jumpin', Jumpin'",230200,False,1999,70,0.683,88.997,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Céline Dion,That's the Way It Is,241373,False,1999,64,0.577,93.04,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
3 Doors Down,Kryptonite,233933,False,2000,78,0.543,99.009,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
3 Doors Down,Kryptonite,233933,False,2000,78,0.543,99.009,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
3 Doors Down,Kryptonite,233933,False,2000,78,0.543,99.009,metal,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14
Carl Thomas,I Wish,226760,False,2000,52,0.224,89.824,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Carl Thomas,I Wish,226760,False,2000,52,0.224,89.824,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Mystikal,Shake Ya Ass,256973,True,2000,57,0.666,98.054,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Mystikal,Shake Ya Ass,256973,True,2000,57,0.666,98.054,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Fuel,Hemorrhage (In My Hands),236866,False,2000,49,0.332,152.034,rock,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12
Fuel,Hemorrhage (In My Hands),236866,False,2000,49,0.332,152.034,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Fuel,Hemorrhage (In My Hands),236866,False,2000,49,0.332,152.034,metal,False,False,False,False,False,False,False,False,False,False,True,False,False,False,14
Donell Jones,Where I Wanna Be,253626,False,1999,57,0.453,102.053,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Donell Jones,Where I Wanna Be,253626,False,1999,57,0.453,102.053,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Savage Garden,Crash and Burn,281466,False,1999,54,0.213,102.03,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Westlife,My Love,231760,False,2000,68,0.328,144.142,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
All Saints,Pure Shores,268746,False,2000,62,0.407,100.618,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Destiny's Child,"Independent Women, Pt. 1",221133,False,2001,65,0.927,97.954,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Destiny's Child,"Independent Women, Pt. 1",221133,False,2001,65,0.927,97.954,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
*NSYNC,It's Gonna Be Me,191040,False,2000,60,0.882,165.09,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Erykah Badu,Bag Lady,348893,False,2000,54,0.578,151.181,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Erykah Badu,Bag Lady,348893,False,2000,54,0.578,151.181,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Marc Anthony,You Sang To Me,347106,False,1999,56,0.741,165.98,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
